iter	Passed	Remaining
0	72	2112
1	144	2016
2	215	1940
3	284	1847
4	351	1757
5	426	1704
6	495	1627
7	567	1559
8	635	1483
9	709	1419
10	776	1342
11	845	1267
12	914	1195
13	985	1126
14	1053	1053
15	1119	979
16	1186	907
17	1256	837
18	1323	766
19	1390	695
20	1456	624
21	1525	554
22	1592	484
23	1663	415
24	1732	346
25	1801	277
26	1869	207
27	1939	138
28	2018	69
29	2084	0
