iter	Logloss
0	0.6222512118
1	0.5655214951
2	0.5174634863
3	0.4747368497
4	0.4382156303
5	0.4068653566
6	0.3792204261
7	0.3555179623
8	0.3331463255
9	0.3136246355
10	0.295435759
11	0.2797076257
12	0.2654481829
13	0.2533646049
14	0.2404493067
15	0.230260275
16	0.2207472668
17	0.2104724588
18	0.2025123218
19	0.194090094
20	0.1883859336
21	0.1815119455
22	0.1753586066
23	0.1699120939
24	0.1651608087
25	0.1607498056
26	0.1557001659
27	0.1521709837
28	0.1475274581
29	0.1439683005
